ruc,razon_social,distrito,direccion
20605026321,VILLANEW S.A.C,CALLAO,A.H. BOCANEGRA
20512899511,UNIMETRO SAC,SAN JUAN DE LURIGANCHO,AV. GRAN CHIMU NRO 451 URB ZARATE - SAN JUAN DE LURIGANCHO - LIMA - LIMA
20548451117,TENDENZA SAC,SANTIAGO DE SURCO,JR. QUILCA 368 CERCADO DE LIMA
20602144420,R&K INDUSTRIAL Y MINERA E.I.R.L,ATE,AV SEPARADORA INDUSTRIAL 717 URB SICUIANI
20604471711,M Y M CONTRATISTAS Y SERVICIOS INTEGRALES S.A.C,SANTIAGO DE SURCO,CALLE EL MARABU MZ I LOTE 3 DPTO 301 URB LA LIBERTAD
20606130199,LC CONSULTING CORP S.A.C,EL AGUSTINO,AV NICOLAS AYLLON 2931
20602331084,KINSA CORP S.A.C,BREÑA,JR GENERAL FELIPE VARELA NRO 1823
20601007186,JC & C INGENIERIA Y MAQUINARIAS S.A.C,SAN BORJA,"CALLE LOPEZ DE AYALA 409- SAN BORJA, LIMA - PERÚ"
20604496838,GRUPO SADDA E.I.R.L,SAN MARTIN DE PORRES,MZ E LOTE 2 ASOC LAS BEGONIAS DE SANTA ROSA
20601636086,GARSUL IMPORT S.A.C,SURCO,"JR. VILLACARRILLO NRO. 221 URB. URB. RESIDENCIAL HIGUERETA
LIMA - LIMA - SANTIAGO DE SURCO"
20123301898,ESQUIVEL CONSULTORES SOCIEDAD ANONIMA,SURCO,AV. UNIVERSITARIA NRO. 776 URB. PANDO (ALT. CDRA 27 DE LA AV LA MARINA) LIMA - LIMA - SAN MIGUEL
20610988114,DISTRIBUIDORA MAJAL,MIRAFLORES,URB. VALLE HERMOSO RESIDENCIAL
20537321190,DIMERC PERU S.A.C,MIRAFLORES,"Av. Mariscal Caceres 320, Miraflores"
20512255541,BEZANILLA SOCIEDAD ANONIMA CERRADA,MIRAFLORES,CALLE PORTA 130 INT. 607 MIRAFLORES -LIMA
20555779276,LUIS ROMAN S.A.C,PUENTE PIEDRA,AV 15 DE JUNIO MZA L LOTE 6 URB LADERAS DE CHILLON
10451426121,BECERRA BUENDIA VALERIA,CALLAO,ASOC LOS ALAMOS MZ Q LOTE 18
20605815155,SEGUPAZ EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA - SEGUPAZ E.I.R.L,SURCO,CAL.LAS LILAS NRO. 126 DPTO. 101 URB. VALLE HERMOSO LIMA - LIMA - SANTIAGO DE SURCO
20536689096,COMERCIAL DISTRIBUIDORA BAYONA S.A.C,COMAS,CAL. JOSE ABELARDO QUIÑONES NRO 133
20601440181,AMSA SECURITY S.A.C,SAN MARTIN DE PORRES,AV. UNIVERSITARIA NRO. 477 URB. CONDEVILLA DEL SEÑOR LIMA - LIMA - SAN MARTIN DE PORRES
20602530010,SAFETY INDUSTRY CORPORATION S.R.L RUC,PUENTE PIEDRA,MZA. M LOTE. 27 A.V. CHILLÓN LIMA - LIMA - PUENTE PIEDRA
20600537190,Q & M CONSULTORES E INGENIEROS S.A.C,ATE,JR. EL BOSQUE N° 172 URB. HUERTA SANTA LUCIA - ATE - LIMA D
20296550222,NELKAREL SAC,SAN MIGUEL,"Calle Isidoro Suarez 444, Maranga, San Miguel"
10086484710,EXPRESION GRAFICA,LIMA,JR ICA 565 INT 110
20611225262,BEK INVERSIONES S.A.C,SAN MARTIN DE PORRES,"CAL.VIZCARDO Y GUZMAN MZA. E LOTE. 3 URB. LA MADRID LIMA -
LIMA"
20606012366,TOP TECH CORPORATION S.A.C,MAGDALENA DEL MAR,JR. DANIEL CARRION NRO. 835 DPTO. 1M LIMA - LIMA - MAGDALENA DEL MAR
20510108761,SMART FACTORY SAC,LINCE,JR. MARISCAL MILLER NRO. 1083 (ENTRE ARENALES Y CUBA) LIMA - LIMA - JESUS MARI
20523911644,SJ SERVI S.A.C,LOS OLIVOS,AV MANUEL GONZALES PRADA SECT. 01 580 URB VILLA LOS ANGELES
20555570474,SERGEV CLAER S.A.C,LIMA,AV. MARISCAL OSCAR R. BENAVIDES NRO. 878 DPTO. A305 URB. LIMA INDUSTRIAL LIMA - LIMA -LIMA
2060692738,PACKING PERU EXPRESS S.A.C,SURQUILLO,PRO.RICARDO PALMA NRO. 160 URB. CERCADO LIMA - LIMA - SURQUILLO
20521937531,OR MAQUINARIAS S.A.C,ATE,AV ASTURIAS NRO 315 URB MAYORAZGO LIMA LIM ATE
20100862132,ISETEK S A,LINCE,AV. ALBERTO ALEXANDER 2201 LINCE - LIMA
20610058133,ESTILO OFICINA PERU SAC,VILLA EL SALVADOR,Sector 1 - Grupo 7 - Manzana F - Lote 13 - Villa El Salvador - Lima - Perú
20610052011,CIMA GROUP PERU S.A.C,EL AGUSTINO,"AV MANJR. ANCASH NRO. 2166 P.J. ANCIETA ALTA ET. UNO (FRENTE AL MAC DE LOS
PARQUES DELAGUSTIN) LIMA - LIMA - EL AGUSTINOUEL GONZALES PRADA SECT. 01
580 URB VILLA LOS ANGELES"
20155945860,PONTIFICA UNIVERSIDAD CATOLICA DEL PERU,SAN MIGUEL,AV UNIVERSITARIA 1801 URB PANDO
20521151324,LABORATORIO INGGEOS S.A.C,SAN JUAN DE MIRAFLORES,ASOC. EL PROGRESO MZ K LOTE 14 PAMPLONA BAJA
20547958072,CRIOGENICA JCB SERVICE SAC,MAGDALENA DEL MAR,CAL.RIO CAPLINA NRO. 149 URB. SANTA ISOLINA (AV MEXICO Y AV UNIVERSITARIA) LIMA - LIMA - COMAS
20431084172,ANCRO S.R.L,SANTA ANITA,SANTA ANITA URB. LOS FICUS AV. LOS CIPRESES
20605979654,AGUA SAVI S.A.C,SUBTANJALLA,AV. SAN MARTIN SUBTANJALLA - ICA
20452225949,AGREGADOS Y CONCRETOS S.R.L. AGRECON S.R.L,SAN ISIDRO,CAL.MARGARITAS NRO. 308 INT. 201 URB. SAN ISIDRO (MZ F3 LOTE 04) ICA - ICA - ICA
20611031999,SIL & M CONSTRUCCIONES SAC,INDEPENDENCIA,CALLE LAS ENCINAS 180 URB EL VOLANTE - INDEPENDENCIA
20535120898,EMPRESA DE TRANSPORTE CARFRA S.A.C,CHINCHA,JR. 23 DE MAYO NRO. 372 (OVALO DE LA AMISTAD) ICA - CHINCHA - PUEBLO NUEVO
20603477490,DISTRIBUIDORA FABIANAPLAST E.I.R.L,ICA,CAL. ORONGO 290 A.H. ACOMAYO ZN.B PARCONA - ICA - ICA
20609119617,CONSTRUCTORA Y CONSULTORIA J.A.E. E.I.R.L,VENTANILLA,A.H. ANGAMOS SECTOR 2 PISO 3
20602413901,WUARU WUARU SAC,ICA,CAL.LAS ACACIAS NRO. 127 URB. SAN ISIDRO (COSTADO DEL MERCADO LA PALMA) ICA - ICA - ICA
20601677556,TRANSPORTES ANYVA S.A.C,CHORRILLOS,CALLE EL UNIVERSIO MZ W LOTE 04 URB LA CAMPIÑA
20452587182,SERPICO,ICA,AV SAN MARTIN 123 IC A
20600516966,OXY SUPPLY SERVICES S.A.C,SAN MIGUEL,AL.DIEGO QUISPE TITO NRO. 288 URB. PANDO ET. SIETE
20535793612,G & X MAQUINARIA EIRL,ICA,URB. LA FLORIDA CAL. DICISIETE 1037
20609030420,FIME NEGOCIOS INDUSTRIALES E.I.R.L,CERCADO DE LIMA,AV. ARGENTINA NRO. 477 INT. 113
20611155612,DAMSA PERU SAC,ICA,CAL.CERRO GRIS NRO. 324 URB. SAN IGNACIO LIMA
10214448195,MUÑOZ SANCHEZ DIONICIO FELIPE,ICA,CAL. ANTONIA MORENO DE CACERES 240 MANZANILLA
20608228447,FERRETERIA DEL PACIFICO S.A.C,LIMA,MZA. D LOTE. 08 PRADERAS DEL SOL 4 ETP LIMA - LIMA - SAN MARTIN DE PORRES DISTRITO
20565620011,JAT TRANSCARGA LOGISTIC E.I.R.L,PUENTE PIEDRA,"AV. VIRGEN DEL CARMEN MZA. J1 LOTE. 4 URB. SAN DIEGO
(ENTRE FINAL AV CANTA CALLAO Y RIO CHILLO) LIMA - LIMA"
20544739230,ARNALDO SERVICE E.I.R.L,SANTIAGO DE SURCO,CAL.FRANCISCO VIDAL DE LAOS NRO. 461
10462433951,ALANIA MENDOZA MARYLIN ESPERANZA,SANTIAGO DE SURCO,URB. MARISCAL CACERES
10421077229,ALANIA MENDOZA DENIS STEED,SANTIAGO DE SURCO,URB. MARISCAL CACERES
20601484995,CORPORACION Y CONSTRUCTORA M & L S.A.C,CARABAYLLO,MZA. C LOTE. 01 URB. SAN CRISTOBAL LIMA - LIMA - CARABAYLL
20602253687,BLÁGOR ASOCIADOS S.A.C,CALLAO,CALLE 5 URB. LOS JAZMINES MZ J LT 1 III ETAPA CALLAO
