id,empresa_id,ruc,razon_social,direccion,distrito,estado
3e8c2b12-1472-5afb-90e8-9c14c5271753,a6f1d8c3-6194-5804-ac16-a98cc205559d,20605026321,VILLANEW S.A.C,A.H. BOCANEGRA,CALLAO,registrado
1d3d4830-5b50-5116-bb9e-06b94005bb09,a6f1d8c3-6194-5804-ac16-a98cc205559d,20512899511,UNIMETRO SAC,AV. GRAN CHIMU NRO 451 URB ZARATE - SAN JUAN DE LURIGANCHO - LIMA - LIMA,SAN JUAN DE LURIGANCHO,registrado
aac39d56-c70d-5d23-9a28-34b80de91a35,a6f1d8c3-6194-5804-ac16-a98cc205559d,20548451117,TENDENZA SAC,JR. QUILCA 368 CERCADO DE LIMA,SANTIAGO DE SURCO,registrado
96ed903f-e35b-58bc-852b-b91e730a3a15,a6f1d8c3-6194-5804-ac16-a98cc205559d,20602144420,R&K INDUSTRIAL Y MINERA E.I.R.L,AV SEPARADORA INDUSTRIAL 717 URB SICUIANI,ATE,registrado
19907606-20da-5ae4-9bca-a708f462629f,a6f1d8c3-6194-5804-ac16-a98cc205559d,20604471711,M Y M CONTRATISTAS Y SERVICIOS INTEGRALES S.A.C,CALLE EL MARABU MZ I LOTE 3 DPTO 301 URB LA LIBERTAD,SANTIAGO DE SURCO,registrado
276eeb1b-4254-5be0-8f75-2cf52c99e44b,a6f1d8c3-6194-5804-ac16-a98cc205559d,20606130199,LC CONSULTING CORP S.A.C,AV NICOLAS AYLLON 2931,EL AGUSTINO,registrado
69f9dd7c-a479-5873-a0d3-9da82f452128,a6f1d8c3-6194-5804-ac16-a98cc205559d,20602331084,KINSA CORP S.A.C,JR GENERAL FELIPE VARELA NRO 1823,BREÑA,registrado
c4d7337b-9c98-50fd-9d51-14f74529cedd,a6f1d8c3-6194-5804-ac16-a98cc205559d,20601007186,JC & C INGENIERIA Y MAQUINARIAS S.A.C,"CALLE LOPEZ DE AYALA 409- SAN BORJA, LIMA - PERÚ",SAN BORJA,registrado
82397bd2-89ef-5fe6-bbe2-629ebea40c9f,a6f1d8c3-6194-5804-ac16-a98cc205559d,20604496838,GRUPO SADDA E.I.R.L,MZ E LOTE 2 ASOC LAS BEGONIAS DE SANTA ROSA,SAN MARTIN DE PORRES,registrado
7c8a2e8c-52a5-5f16-855a-675008475920,a6f1d8c3-6194-5804-ac16-a98cc205559d,20601636086,GARSUL IMPORT S.A.C,"JR. VILLACARRILLO NRO. 221 URB. URB. RESIDENCIAL HIGUERETA
LIMA - LIMA - SANTIAGO DE SURCO",SURCO,registrado
