id,empresa_id,proveedor_id,categoria_id,suministro,calificacion_actual,nota_actual,proxima_evaluacion
009ea9c2-09bb-5a00-908e-313b1cde7902,a6f1d8c3-6194-5804-ac16-a98cc205559d,4245ae2f-6c4b-55d1-abec-e557115ad979,a18fb552-93f5-58a4-be11-ce3e5274f443,TRANSPORTE DE CARGA POR CARRETERA,confiable,80.0,2025-06-03
4e442b67-3edb-5b46-9b03-a0feb683f594,a6f1d8c3-6194-5804-ac16-a98cc205559d,4245ae2f-6c4b-55d1-abec-e557115ad979,86ccc685-a2fb-562e-9ac7-debfacbcf12a,TRANSPORTE DE CARGA POR CARRETERA,confiable,80.0,2026-05-29
a9d3bcf9-b378-5a58-a9e4-d2c83697edc9,a6f1d8c3-6194-5804-ac16-a98cc205559d,0f3f42e8-b5a3-560d-9027-079d3b954c20,27eab39b-d505-5d1f-85ff-615de00b8e9a,VENTA AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS Y ANIMALES VIVOS,confiable,85.0,2026-03-30
01509ffd-0a0c-579e-8aa0-e4990e92eefc,a6f1d8c3-6194-5804-ac16-a98cc205559d,e0c427bf-3ff7-525c-874c-074ba7623fc2,27eab39b-d505-5d1f-85ff-615de00b8e9a,IMPRESIÓN,confiable,75.0,2026-03-10
f8b499c3-07fb-54d8-a601-a87cd461dc4a,a6f1d8c3-6194-5804-ac16-a98cc205559d,14d57124-794e-576f-b9c4-a95cb70241dc,a18fb552-93f5-58a4-be11-ce3e5274f443,TRANSPORTE DE CARGA POR CARRETERA,confiable,80.0,2025-06-03
5e2dcb78-ca11-5d19-9cfc-a5d10c118574,a6f1d8c3-6194-5804-ac16-a98cc205559d,14d57124-794e-576f-b9c4-a95cb70241dc,86ccc685-a2fb-562e-9ac7-debfacbcf12a,TRANSPORTE DE CARGA POR CARRETERA,confiable,80.0,2026-05-29
31d9579d-b37a-5ab9-81fe-a70eb9371763,a6f1d8c3-6194-5804-ac16-a98cc205559d,b38ad1f0-45d6-5e3d-b49e-cfd989e899ab,27eab39b-d505-5d1f-85ff-615de00b8e9a,MATERIALES,confiable,85.0,2026-04-21
2ddb8d04-f1b0-5eac-99ec-923527292a94,a6f1d8c3-6194-5804-ac16-a98cc205559d,409b1fb1-7127-52cf-b40a-93d142c2316b,27eab39b-d505-5d1f-85ff-615de00b8e9a,ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA,confiable,80.0,2026-03-12
691c1696-e748-5413-a133-cd65b919499d,a6f1d8c3-6194-5804-ac16-a98cc205559d,409b1fb1-7127-52cf-b40a-93d142c2316b,6bf4bdda-3739-51f4-be22-48b0e38ea47a,ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA,confiable,80.0,2025-09-13
2cd221af-ec4d-50db-a573-dc4cd58bfb22,a6f1d8c3-6194-5804-ac16-a98cc205559d,ecb523dc-d599-5f6a-b8d0-be6766e2bd4e,27eab39b-d505-5d1f-85ff-615de00b8e9a,TRANSPORTE DE CARGA POR CARRETERA,confiable,75.0,2026-02-20
355b8f2b-b2f6-5c4b-9fee-45c1f40fda13,a6f1d8c3-6194-5804-ac16-a98cc205559d,ecb523dc-d599-5f6a-b8d0-be6766e2bd4e,e49105b2-4b4c-557e-b55d-7a6d977c8a9c,TRANSPORTE DE CARGA POR CARRETERA,confiable,75.0,2025-08-24
40a04e57-ef08-5f62-8c19-fdfebc203a4c,a6f1d8c3-6194-5804-ac16-a98cc205559d,656fa242-97ea-52c0-9087-d8367b6ed6c4,27eab39b-d505-5d1f-85ff-615de00b8e9a,TRANSPORTE DE CARGA POR CARRETERA,confiable,80.0,2026-04-28
